epoch,step,split,eval_scope,eval_batches,eval_max_batches,loss,lr,val_mse,val_mse_lo,val_mse_hi,val_mae,val_mae_lo,val_mae_hi,test_mse,test_mse_lo,test_mse_hi,test_mae,test_mae_lo,test_mae_hi
0,20,train,,,,7575.683922338486,1.076923076923077e-05,,,,,,,,,,,,
0,40,train,,,,4349.044196009636,2e-05,,,,,,,,,,,,
0,60,train,,,,6905.257079648972,2e-05,,,,,,,,,,,,
0,80,train,,,,4203.163491535187,2e-05,,,,,,,,,,,,
0,100,train,,,,5348.876083183289,2e-05,,,,,,,,,,,,
0,120,train,,,,8478.02866230011,2e-05,,,,,,,,,,,,
0,140,train,,,,5013.238626909256,2e-05,,,,,,,,,,,,
0,160,train,,,,3978.0039776802064,2e-05,,,,,,,,,,,,
0,180,train,,,,3038.1308074474337,2e-05,,,,,,,,,,,,
0,200,train,,,,2484.320572710037,2e-05,,,,,,,,,,,,
0,200,,step,32,32,,,12.02778148651123,11.345062255859375,12.685646057128906,2.5398175716400146,2.4724342823028564,2.593621015548706,,,,,,
0,220,train,,,,4662.800773477555,2e-05,,,,,,,,,,,,
0,240,train,,,,3030.0297075271606,2e-05,,,,,,,,,,,,
0,260,train,,,,2898.5659915447236,2e-05,,,,,,,,,,,,
0,280,train,,,,1717.1215480804444,2e-05,,,,,,,,,,,,
0,300,train,,,,3281.339476585388,2e-05,,,,,,,,,,,,
0,320,train,,,,2358.8430564880373,2e-05,,,,,,,,,,,,
0,340,train,,,,2205.534268927574,2e-05,,,,,,,,,,,,
0,360,train,,,,2316.94183678627,2e-05,,,,,,,,,,,,
0,380,train,,,,2207.2615815639497,2e-05,,,,,,,,,,,,
0,400,train,,,,3153.3123911142347,2e-05,,,,,,,,,,,,
0,400,,step,32,32,,,8.701870918273926,8.149681091308594,9.269868850708008,2.166344165802002,2.110999345779419,2.221033811569214,,,,,,
0,420,train,,,,2095.651138532162,2e-05,,,,,,,,,,,,
0,440,train,,,,4160.807419252395,2e-05,,,,,,,,,,,,
0,460,train,,,,1614.7609173297883,2e-05,,,,,,,,,,,,
0,480,train,,,,2137.419303870201,2e-05,,,,,,,,,,,,
0,500,train,,,,1975.00977165699,2e-05,,,,,,,,,,,,
0,520,train,,,,3459.87059135437,2e-05,,,,,,,,,,,,
0,540,train,,,,1476.2483033418655,2e-05,,,,,,,,,,,,
0,560,train,,,,2690.9848099708556,2e-05,,,,,,,,,,,,
0,580,train,,,,3538.8265370845793,2e-05,,,,,,,,,,,,
0,600,train,,,,2224.482653594017,2e-05,,,,,,,,,,,,
0,600,,step,32,32,,,6.874365329742432,6.478348731994629,7.307732582092285,1.915070652961731,1.863961100578308,1.9640657901763916,,,,,,
0,620,train,,,,834.4325140953064,2e-05,,,,,,,,,,,,
0,640,train,,,,1052.5211101055145,2e-05,,,,,,,,,,,,
0,660,train,,,,2073.0401363372803,2e-05,,,,,,,,,,,,
0,680,train,,,,1934.6994510173797,2e-05,,,,,,,,,,,,
0,700,train,,,,1636.216317653656,2e-05,,,,,,,,,,,,
0,720,train,,,,1504.5982010602952,2e-05,,,,,,,,,,,,
0,740,train,,,,2225.1313536167145,2e-05,,,,,,,,,,,,
0,760,train,,,,1453.5364006519317,2e-05,,,,,,,,,,,,
